Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.6742857142857143,21.11857142857143,443.49000000000007,SC 90% BEEF 1 Z • NP BNL CHKN B ST • SC 90%LEAN GRBF • TH FRMS LAMB ILB • SB SLC BACON 162 • CHORIZO LINK 162 • BNLS CC PORK CHP • PERD BRST TNDRS • NP MILD CHCK SSG • HTFD HOT ITL 162 • ORG 85% GRND BF • GROUND STEAK 80% • JHNSNVLE DINN Ll • P TS CKN CUTLET NP TS CKN CUTLET • BNLS CKNBRST TND • SWEET ITLN SSG • NP BLSKL CHKTHGN • FPK 80% GRD BEEF • PERD TS RST BRST • OM BACON SLC 16Z • .SHBF 85% TRKY
1,PRODUCE,2.3495454545454546,15.116818181818182,332.57,CAULIFLOWER 9CT • SW GARLIC 9.52 • CELLO LETTUCE 24 • 2LB BABY PLD CAR • MANDARINS 3LB • NP ORG FUJI 3LB • BROCCOLI CROWNS • RED SDLS GRAPES • BLUEBERRIES 182 • +HASS AVOCADOS • POTATOES • EX LRG TOMATOES  • ORG BLURRY 4 . 4Z • PREM PETITE CAR • VINE RIPE TOMATO • NP BBY PLD CRT • ONION SETS • TOMATO ON VINE • CABBAGE CELERY • SCALLIONS • .ORG CRIPPS PINK • ONION RED
2,GROCERY,0.3052272727272727,7.208636363636365,317.18000000000006,"SB ELBOW MACRONI • RhOS ELBOW 162 • RMS PENNE 162 • SB FLOUR ALL 51B • NP OG CRY PN BUT • NP FF ALM BTR 12 • NMITLNSSG8PPR24Z • NUMN SAU 23.5Z • SB SALTINES • MCVT MLK CHO DIG • CENTO TUNA FISH • HLMNS RLMAYO 202 • CAROLINA JASMINE • RED LBSTR CHD BA • SB REG SPAGHETTI • SB ROTINI • SUN LUCK SESME O • SB XTRLTOO 16.92 • CF ORG GRAN14.6Z • SB SOY SCE 102 • POPCHIPS SSLT 5Z • NP ORG TOM BSL S • NP ORG SC PARM • NP NATRLMDBTR16Z • SB GRAPE JELLY • NUMNPSSOCKARNI • TOI ASIAN BBQ12Z • SB SUGAR 16Z • SB DBL ZIP FRZR • KAME STRFRYHKN N • ANNIE HONEY GRA • MCVT MLK CHC HBN • PCORNR CHIPS, 7Z • NP ORGNC ALM BTR • GYA X-VG OLV OIL • KIKM GLT FRE SOY • SB THIN SPAGHETI • NP ORG EV0016.9Z • BONN MAM RASPBRY • CHICHI BURRITO • BONE NAM STW PRE • DRMFLD SPAGHETTI • PASTA SAUCE TMBS • NP SNFLWR BTR16Z"
3,FROZEN FOOD,0.42363636363636364,5.543636363636364,60.980000000000004,SB CUT BROC 162 • SB GREEN PEAS16Z • TK H VN CHO 482 • RAVIOLI CHEESE • NP ORG CA BLN16Z • NP ORGANIC MIXED • NP PEAS&CRTS 162 • NWMNO UNCP15. IZ • NWMNO SPRM PZ17Z • TK HL DTCH CHO • TK HL IC 48Z
4,BAKERY - COMMERCIAL,0.5125,11.790833333333332,141.48999999999998,PHLY MALTYGR18.4 DAIRY • HLNDL EGGS MD12C • MhC N CHEESE BLD • SB HAMBURGER ROL p/ • DAVE BAGEL 16.752  • DKB 21 GRAIN 27Z DAIRY • PHIL SFT CRM CHS • SB SHRED MOZZ 82 • FNCY 4 CHS MEX • FNCY SHR PARM CH • SB LG UH EGG 18 • SB UHOLE MILK
5,BAKE SHOP,0.0,7.8725000000000005,31.490000000000002,12 GLAZED DONUTS • DNT HORS ASSORT • 6CT NO PT ROLL • DNT HOLES POWDER
6,PREPARED FOODS,0.0,6.99,6.99,ROTIS CHKN HOT 
7,DAIRY,0.12,5.8075,69.69,"SB UT PRVLN 7.62 • SB yu AMRCN IUS • SB CRM CHEESE8 • LAND LK BUTTERLB
*f • SB SET CRM CHS • SS SOUR CREAM • SB JUMBO EGGS • SB OJ W/C100%52Z • FNCY SHRD TACO • SB SL MED CHED • NP STRNG CHS 6Z • IWS 2% RF SNGLS"
8,GENERAL MERCHANDISE,0.0,4.49,8.98,SL COURSE GRATER • SL SINK STRAINER
9,HEALTH AND BEAUTY CARE,0.0,2.54,5.08,Cl 91% ISO ALCHL • Cl SJ CTTN BALLS
10,DELI,0.0,3.99,3.99,AMOR ITLN RLS 6P
